"AffyID"	"SYMBOL"	"ND_1_CD14_TNF_90_133Plus_2.CEL"	"ND_2_CD14_TNF_90_133Plus_2.CEL"
"1552618_at"	"STX6"	"7.61839637041114"	"7.30330858797573"
"1552619_a_at"	"ANLN"	"6.6802931551777"	"6.76153432005707"
"1552620_at"	"SPRR4"	"7.33880298848286"	"7.18734593063611"
"1552621_at"	"POLR2J"	"7.46502158332174"	"7.67499813115297"
"1552622_s_at"	"POLR2J"	"7.36555456744974"	"7.42669891145364"
"1552623_at"	"HSH2D"	"7.06264594245307"	"7.20803105249282"
"1552625_a_at"	"TRNT1"	"7.19401057707333"	"7.01872076259233"
"1552626_a_at"	"TMEM163"	"6.7633871680331"	"7.14082002603039"
"1552627_a_at"	"ARHGAP5"	"6.67230400078883"	"6.97964961671885"
"1552628_a_at"	"HERPUD2"	"8.57184189023944"	"7.33041443444569"
"1552629_a_at"	"JMJD6"	"6.84424758036975"	"7.06344700744716"
"1552630_a_at"	"SRCAP"	"7.36262152595243"	"7.57121435529354"
"1552631_a_at"	"MAP3K6"	"7.30578362095499"	"8.01290182337303"
"1552632_a_at"	"ARSG"	"7.43568324671738"	"6.81430251845754"
"1552633_at"	"ZNF101"	"7.37728690411808"	"7.32396773419155"
"1552634_a_at"	"ZNF101"	"7.32249097664265"	"7.46167492135184"
"1552637_at"	"PTPN11"	"6.809983855239"	"6.87269727032969"
"1552639_at"	"KLHDC7B"	"7.1470248347202"	"7.27879731348692"
"1552641_s_at"	"ATAD3B"	"7.45365416998363"	"7.66106282108126"
"1552643_at"	"ZNF626"	"7.00305070011109"	"6.96522434732407"
"1552644_a_at"	"PHC3"	"7.05582890132747"	"6.91264670284706"
"1552646_at"	"IL11RA"	"7.35930597112227"	"7.82828468282189"
"1552648_a_at"	"TNFRSF10A"	"7.67273414508805"	"7.46854790486978"
"1552649_a_at"	"RFFL"	"7.07181200137888"	"7.3970927257538"
"1552651_a_at"	"RFFL"	"7.47400815927074"	"7.3793596351637"
"1552652_at"	"HPS4"	"7.43937492412974"	"7.66193702887228"
"1552656_s_at"	"UHMK1"	"6.92717345947367"	"6.95552461992226"
"1552657_a_at"	"TXNDC2"	"6.93405057717008"	"7.27574366345038"
"1552658_a_at"	"NAV3"	"6.71642869483758"	"6.77474130612183"
"1552660_a_at"	"C5orf22"	"6.8183784114336"	"6.81498133400991"
"1552661_at"	"PCDHGB7"	"6.51113769519699"	"6.60186353982736"
"1552662_a_at"	"PCDHGB7"	"7.10497350179531"	"7.18207811273628"
"1552663_a_at"	"ERC1"	"7.22558174225803"	"7.19772887698972"
"1552664_at"	"FLCN"	"8.1865958625833"	"6.85751773804779"
"1552665_at"	"JMJD1C-AS1"	"6.69328767704513"	"7.7116648905471"
"1552666_a_at"	"LRRC7"	"6.69578955965515"	"6.94069854295979"
"1552667_a_at"	"SH2D3C"	"8.45091720462083"	"7.40582193301432"
"1552669_at"	"PPP1R3B"	"7.00852101009706"	"7.23548945583569"
"1552670_a_at"	"PPP1R3B"	"6.94780728307673"	"6.97397845253593"
"1552671_a_at"	"SLC9A7"	"6.97608389920994"	"7.33272284928655"
"1552672_a_at"	"IGSF3"	"6.98911557248596"	"7.27037131631737"
"1552673_at"	"RFX6"	"6.6680221255156"	"6.84159703980725"
"1552674_at"	"DIRC1"	"6.76161499088939"	"6.89505844170828"
"1552675_at"	"DNAJB7"	"6.64715512736476"	"6.86225509114283"
"1552676_at"	"UCN3"	"6.96784141530674"	"7.3765391596322"
"1552677_a_at"	"DIP2A"	"6.84417793778475"	"6.89283952097532"
